eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
612.78,45.73,1435,0.007236811,0.19445801,0.80224663,-0.01579417,0.049384244,0.8489826917648315,3470,444160,5553.4554943,7106560
610.27,44.69,1322,0.010109624,0.16027832,0.74362993,-0.007257296,0.2638903,0.743871808052063,3471,444288,5555.004216300001,7108608
609.08,41.64,1339,0.01548389,0.17749023,0.7778735,-0.011893162,0.096616216,0.7617345750331879,3472,444416,5556.5330075,7110656
608.46,41.94,1375,0.012354416,0.16723633,0.82358253,-0.0097739315,0.08324818,0.7881481349468231,3473,444544,5558.0220101,7112704
606.57,40.42,1378,0.0067115203,0.14477539,0.79598385,-0.00703776,0.33265904,0.852387860417366,3474,444672,5559.507618600001,7114752
607.71,41.63,1363,0.010158285,0.14880371,0.80502033,-0.010151137,0.11355438,0.8013007491827011,3475,444800,5561.009533400001,7116800
610.14,41.58,1281,0.0062142136,0.15222168,0.8203457,-0.014283097,0.13500477,0.7114249765872955,3476,444928,5562.6079077,7118848
609.06,40.37,1407,0.0045168493,0.15637207,0.86036307,-0.0142923,0.14812088,0.6009415090084076,3477,445056,5564.0633187,7120896
604.64,37.63,1432,0.005354331,0.18737793,0.86184376,-0.0152227795,0.07002943,0.7313356995582581,3478,445184,5565.4929416,7122944
602.54,38.47,1333,0.0034493175,0.14807129,0.80940413,-0.005545087,0.40479687,0.28577113151550293,3479,445312,5567.0294498,7124992
600.32,36.7,1429,0.005938295,0.1973877,0.84346235,-0.016535047,0.06459653,0.8265879154205322,3480,445440,5568.4621782,7127040
595.23,35.38,1282,0.004664959,0.14428711,0.76777935,-0.0064121303,0.24724634,0.8610866516828537,3481,445568,5570.0598472,7129088
592.6,37.53,1315,0.0063469447,0.19812012,0.8248297,-0.01708968,0.0438567,0.7814554125070572,3482,445696,5571.617589400001,7131136
590.38,35.5,1391,0.0066045476,0.19946289,0.84632665,-0.017264746,0.039803755,0.7616578936576843,3483,445824,5573.0893273,7133184
592.81,35.55,1330,0.0076951445,0.22216797,0.8770244,-0.019604666,0.044198334,0.7961912304162979,3484,445952,5574.6289472,7135232
587.36,33.92,1355,0.006561596,0.21032715,0.87104917,-0.01989276,0.032553047,0.8676674962043762,3485,446080,5576.1398934,7137280
586.36,33.86,1295,0.006642519,0.17358398,0.81751806,-0.010204923,0.1383082,0.8297671675682068,3486,446208,5577.721419,7139328
584.08,35.46,1289,0.04487023,0.16235352,0.8614555,-0.008542024,0.3001971,0.7082582414150238,3487,446336,5579.3106198000005,7141376
582.96,34.88,1302,0.008482496,0.22363281,0.8500063,-0.018099915,0.04870637,0.9150146991014481,3488,446464,5580.8835836,7143424
583.76,35.02,1355,0.007604245,0.19750977,0.83280045,-0.015058605,0.03190533,0.8867107480764389,3489,446592,5582.3948589,7145472
583.06,34.34,1308,0.008314148,0.21923828,0.8376939,-0.016832538,0.04902976,0.7603751122951508,3490,446720,5583.960559900001,7147520
583.44,33.45,1299,0.0067906324,0.20336914,0.8120212,-0.009494856,0.15166697,0.8177766501903534,3491,446848,5585.5371346,7149568
592.83,35.7,1306,0.007743921,0.15783691,0.87196815,-0.014120977,0.08473563,0.7198145687580109,3492,446976,5587.1046781000005,7151616
592.62,35.66,1442,0.007614895,0.21313477,0.8658046,-0.017061632,0.035138268,0.8794716000556946,3493,447104,5588.5245456,7153664
591.55,35.59,1341,0.007305888,0.21850586,0.8650654,-0.016473021,0.039215475,0.8320400714874268,3494,447232,5590.052114200001,7155712
586.67,34.76,1372,0.008200971,0.22631836,0.8787768,-0.019302737,0.058415446,0.8303822129964828,3495,447360,5591.5444333000005,7157760
588.04,35.26,1274,0.0060455254,0.18322754,0.8005648,-0.014885008,0.09407966,0.8202079385519028,3496,447488,5593.151807300001,7159808
589.76,37.21,1362,0.0068464004,0.1348877,0.7258335,-0.007832273,0.1846055,0.8405458182096481,3497,447616,5594.6555227,7161856
587.27,37.12,1415,0.008485071,0.19360352,0.7999531,-0.015832273,0.09107273,0.7912433594465256,3498,447744,5596.102639600001,7163904
593.03,38.83,1388,0.012606929,0.15673828,0.7756638,-0.011124133,0.1340894,0.8679624944925308,3499,447872,5597.5780583000005,7165952
593.54,38.42,1375,0.008640383,0.20581055,0.7980919,-0.016761167,0.061763383,0.8225310295820236,3500,448000,5599.067781000001,7168000
591.58,37.06,1352,0.009191318,0.16394043,0.7172867,-0.009799388,0.14242004,0.8597224056720734,3501,448128,5600.5823596,7170048
591.54,37.02,1470,0.017838774,0.11706543,0.6877461,-0.006751585,0.29017338,0.8531374633312225,3502,448256,5601.9758594,7172096
597.15,39.59,1302,0.017828533,0.14331055,0.7863006,-0.00955922,0.17772982,0.8267252147197723,3503,448384,5603.5486588,7174144
598.61,40.86,1376,0.010832326,0.19665527,0.78977257,-0.013310975,0.07513714,0.7796987593173981,3504,448512,5605.036545800001,7176192
600.24,39.15,1304,0.008830406,0.15002441,0.7965734,-0.011038788,0.14309947,0.6852194666862488,3505,448640,5606.6068719,7178240
595.9,38.77,1262,0.0063759526,0.14880371,0.76213187,-0.008166776,0.21267848,0.8605664521455765,3506,448768,5608.2291465,7180288
